	level_0	index	Funktion	Ratsmitglied	Zutrittsberechtigte	document	page
537	597	14		Galladé Chantal, SP/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	9
538	598	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	9
539	599	0	VSE Verband schweizerischer Elektrizitätsunternehmen	Gasche Urs, BDP/BE	Rohrbach Kurt	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
540	600	1	Public Affairs BKW AG		Bürki Franziska	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
541	601	2		Geissbühler Andrea Martina, SVP/BE		Register der Zutrittberechtigten 2016-01-21 N.pdf	10
542	602	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	10
543	603	4		Genecand Benoît, PLR/GE		Register der Zutrittberechtigten 2016-01-21 N.pdf	10
544	604	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	10
545	605	6	ASTAG	Giezendanner Ulrich, SVP/AG	Kirchhofer André	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
546	606	7	competentia / furrerhugi.advisors ag		Gehrken Michael	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
547	607	8	WWF Schweiz	Girod Bastien, GPS/ZH	Hofstetter Patrick	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
548	608	9	Wirtschaftsverband swisscleantech		Barmettler Franziska	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
549	609	10	Regierungsrat des Kantons Luzern	Glanzmann-Hunkeler Ida, CVP/LU	Graf Guido	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
550	610	11	Gast		Glanzmann Jonas	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
551	611	12		Glarner Andreas, SVP/AG		Register der Zutrittberechtigten 2016-01-21 N.pdf	10
552	612	13				Register der Zutrittberechtigten 2016-01-21 N.pdf	10
553	613	14	Alliance Sud	Glättli Balthasar, GPS/ZH	Staudenmann Jürg	Register der Zutrittberechtigten 2016-01-21 N.pdf	10
554	614	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	10
555	615	0	GastroSuisse	Gmür Alois, CVP/SZ	Platzer Casimir	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
556	616	1	Schweizer Brauerei-Verband		Kreber Marcel	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
557	617	2	Dr. Schenker Kommunikation AG	Gmür-Schönenberger Andrea, CVP/LU	Bühler Adrian	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
558	618	3	Gast		Gmür Philipp	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
559	619	4	Collaborateur(rice) personnel(le)	Golay Roger, MCG/GE	Mayer Patrick	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
560	620	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	11
561	621	6	Schweizerischer Gewerbeverband sgv	Gössi Petra, FDP-Liberale/SZ	Davatz-Höchner Christine	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
562	622	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	11
563	623	8	Bio Suisse	Graf Maya, GPS/BL	Bossard Martin	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
564	624	9	Brot für alle		Goethe Christina	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
565	625	10	ewz	Graf-Litscher Edith, SP/TG	Graf Harry	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
566	626	11	Köhler, Stüdeli & Partner GmbH		Stüdeli Walter	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
567	627	12	Biofluels Schweiz	Grin Jean-Pierre, UDC/VD	Frei Ulrich	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
568	628	13	Invité(e)		Nicod Gérald	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
569	629	14	Verband Schweizerischer Elektro-Installationsfirmen VSEI	Grossen Jürg, glp/BE	Hämmerli Urs Simon	Register der Zutrittberechtigten 2016-01-21 N.pdf	11
570	630	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	11
571	631	0		Grunder Hans, BDP/BE		Register der Zutrittberechtigten 2016-01-21 N.pdf	12
572	632	1				Register der Zutrittberechtigten 2016-01-21 N.pdf	12
573	633	2	Gast	Grüter Franz, SVP/LU	Grüter Luzia	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
574	634	3	Persönliche/r Mitarbeiter/in		Felice-Tanner Susanne	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
575	635	4		Gschwind Jean-Paul, PDC/JU		Register der Zutrittberechtigten 2016-01-21 N.pdf	12
576	636	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	12
577	637	6	Swisscom AG	Guhl Bernhard, BDP/AG	Kilchenmann Stefan	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
578	638	7	Verband Schweizerischer Polizeibeamter		Hofmann Max	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
579	639	8	Operation Libero	Guldimann Tim, SP/ZH	Kleiner Flavia	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
580	640	9	Neue europäische Bewegung Schweiz		Iberg Caroline	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
581	641	10	Schweizerischer Berufsverband Pflegefachfrauen und -männer	Gysi Barbara, SP/SG	Ribi Yvonne	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
582	642	11	Fachverband Sucht		Baumberger Petra	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
583	643	12	Gast	Hadorn Philipp, SP/SO	Walder Annette	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
584	644	13	Gewerkschaft des Verkehrspersonals		Lehmann Daniela	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
585	645	14	Solar Agentur Schweiz	Hardegger Thomas, SP/ZH	Cadonau Gallus	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
586	646	15		Pult Jon	Alpeninitiative	Register der Zutrittberechtigten 2016-01-21 N.pdf	12
587	647	0	Ecopolitics GmbH	Häsler Christine, GPS/BE	Wirz Felix	Register der Zutrittberechtigten 2016-01-21 N.pdf	13
588	648	1	AGILE.CH		Schaffner Ursula	Register der Zutrittberechtigten 2016-01-21 N.pdf	13
589	649	2		Hausammann Markus, SVP/TG		Register der Zutrittberechtigten 2016-01-21 N.pdf	13
590	650	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	13
591	651	4		Heer Alfred, SVP/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	13
592	652	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	13
593	653	6		Heim Bea, SP/SO		Register der Zutrittberechtigten 2016-01-21 N.pdf	13
594	654	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	13
595	655	8	Bank Julius Bär	Herzog Verena, SVP/TG	Gentinetta Pascal	Register der Zutrittberechtigten 2016-01-21 N.pdf	13
596	656	9	Persönliche/r Mitarbeiter/in		Wüthrich Hans-Peter	Register der Zutrittberechtigten 2016-01-21 N.pdf	13
597	657	10		Hess Erich, SVP/BE		Register der Zutrittberechtigten 2016-01-21 N.pdf	13
598	658	11				Register der Zutrittberechtigten 2016-01-21 N.pdf	13
599	659	12		Hess Hermann, FDP-Liberale/TG		Register der Zutrittberechtigten 2016-01-21 N.pdf	13
600	660	13				Register der Zutrittberechtigten 2016-01-21 N.pdf	13
601	661	14	furrerhugi.ag	Hess Lorenz, BDP/BE	Beutler Nicole	Register der Zutrittberechtigten 2016-01-21 N.pdf	13
602	662	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	13
603	663	0	Invité(e)	Hiltpold Hugues, PLR/GE	Maudet Pierre	Register der Zutrittberechtigten 2016-01-21 N.pdf	14
604	664	1	Canton de Genève		Schurch Florence	Register der Zutrittberechtigten 2016-01-21 N.pdf	14
605	665	2		Humbel Ruth, CVP/AG		Register der Zutrittberechtigten 2016-01-21 N.pdf	14
606	666	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	14
607	667	4	Gast	Hurter Thomas, SVP/SH	Stamm Hurter Cornelia	Register der Zutrittberechtigten 2016-01-21 N.pdf	14
608	668	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	14
609	669	6		Imark Christian, SVP/SO		Register der Zutrittberechtigten 2016-01-21 N.pdf	14
610	670	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	14
611	671	8	Birdlife Schweiz	Ingold Maja, EVP/ZH	Müller Werner	Register der Zutrittberechtigten 2016-01-21 N.pdf	14
612	672	9	Persönliche/r Mitarbeiter/in		Wermuth Hans Peter	Register der Zutrittberechtigten 2016-01-21 N.pdf	14
613	673	10	Gast	Jans Beat, SP/BS	Wiener Daniel	Register der Zutrittberechtigten 2016-01-21 N.pdf	14
614	674	11	Pro Natura		Ballmer Mirjam	Register der Zutrittberechtigten 2016-01-21 N.pdf	14
615	675	12		Jauslin Matthias Samuel, FDP-Liberale/AG		Register der Zutrittberechtigten 2016-01-21 N.pdf	14
616	676	13				Register der Zutrittberechtigten 2016-01-21 N.pdf	14
617	677	14		Keller Peter, SVP/NW		Register der Zutrittberechtigten 2016-01-21 N.pdf	14
618	678	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	14
619	679	0		Keller-Inhelder Barbara, SVP/SG		Register der Zutrittberechtigten 2016-01-21 N.pdf	15
620	680	1				Register der Zutrittberechtigten 2016-01-21 N.pdf	15
621	681	2		Kiener Nellen Margret, SP/BE		Register der Zutrittberechtigten 2016-01-21 N.pdf	15
622	682	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	15
623	683	4		Knecht Hansjörg, SVP/AG		Register der Zutrittberechtigten 2016-01-21 N.pdf	15
624	684	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	15
625	685	6		Köppel Roger, SVP/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	15
626	686	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	15
627	687	8	UBS AG	Landolt Martin, BDP/GL	Hottiger Steve	Register der Zutrittberechtigten 2016-01-21 N.pdf	15
628	688	9				Register der Zutrittberechtigten 2016-01-21 N.pdf	15
629	689	10	Persönliche/r Mitarbeiter/in	Leutenegger Oberholzer Susanne,SP/BL	Wyss Damian	Register der Zutrittberechtigten 2016-01-21 N.pdf	15
630	690	11				Register der Zutrittberechtigten 2016-01-21 N.pdf	15
631	691	12		Lohr Christian, CVP/TG		Register der Zutrittberechtigten 2016-01-21 N.pdf	15
632	692	13				Register der Zutrittberechtigten 2016-01-21 N.pdf	15
633	693	14	Invité(e)	Lüscher Christian, PLR/GE	Singh Auroi Varuna	Register der Zutrittberechtigten 2016-01-21 N.pdf	15
634	694	15		Chabloz Jean-Claude	Invité(e)	Register der Zutrittberechtigten 2016-01-21 N.pdf	15
635	695	0	Travail.Suisse	Maire Jacques-André, PSS/NE	Fischer Gabriel	Register der Zutrittberechtigten 2016-01-21 N.pdf	16
636	696	1	Invité(e)		Geiser Ernest	Register der Zutrittberechtigten 2016-01-21 N.pdf	16
637	697	2	Collaborateur(rice) personnel(le)	Marchand-Balet Géraldine, PDC/VS	Giunta Giovanni	Register der Zutrittberechtigten 2016-01-21 N.pdf	16
638	698	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	16
639	699	4	Neue Europäische Bewegung Schweiz	Markwalder Christa, FDP-Liberale/BE	Schürch Lukas	Register der Zutrittberechtigten 2016-01-21 N.pdf	16
640	700	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	16
641	701	6		Marra Ada, PSS/VD		Register der Zutrittberechtigten 2016-01-21 N.pdf	16
642	702	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	16
643	703	8		Marti Min Li, SP/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	16
644	704	9				Register der Zutrittberechtigten 2016-01-21 N.pdf	16
645	705	10		Martullo-Blocher Magdalena, SVP/GR		Register der Zutrittberechtigten 2016-01-21 N.pdf	16
646	706	11				Register der Zutrittberechtigten 2016-01-21 N.pdf	16
647	707	12	WWF Schweiz	Masshardt Nadine, SP/BE	Fischer Alex	Register der Zutrittberechtigten 2016-01-21 N.pdf	16
648	708	13	Persönliche/r Mitarbeiter/in		Rettenmund Hannes	Register der Zutrittberechtigten 2016-01-21 N.pdf	16
649	709	14		Matter Thomas, SVP/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	16
650	710	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	16
651	711	0	Association Transports et Environnement (ATE)	Mazzone Lisa, PES/GE	Müller Matthias	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
652	712	1				Register der Zutrittberechtigten 2016-01-21 N.pdf	17
653	713	2	Collaboratore/trice personale	Merlini Giovanni, FDP-Liberale/TI	Speziali Alessandro	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
654	714	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	17
655	715	4	Alliance Sud	Meyer Mattea, SP/ZH	Gross Dominik	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
656	716	5	Schweizerischer Gewerkschaftsbund		Lampart Daniel	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
657	717	6	Collaborateur(rice) personnel(le)	Moret Isabelle, PLR/VD	Engel Oriane	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
658	718	7	Collaborateur(rice) personnel(le)		Lopez Barry	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
659	719	8	Schweiz. Bankiervereinigung	Moser Tiana Angelina, glp/ZH	Weibel Alena	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
660	720	9	Schweizer Musikrat		Flury Markus	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
661	721	10		Müller Leo, CVP/LU		Register der Zutrittberechtigten 2016-01-21 N.pdf	17
662	722	11				Register der Zutrittberechtigten 2016-01-21 N.pdf	17
663	723	12	HEV Schweiz	Müller Thomas, SVP/SG	Sommer Monika	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
664	724	13	Touring Club Schweiz		Zumbühl Rudolf	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
665	725	14	Persönliche/r Mitarbeiter/in	Müller Walter, FDP-Liberale/SG	Müller Ottilia	Register der Zutrittberechtigten 2016-01-21 N.pdf	17
666	726	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	17
667	727	0	suva	Müller-Altermatt Stefan, CVP/SO	Häseli Barbara	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
668	728	1	Migros Genossenschaftsbund		Maurer Jürg	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
669	729	2	Schweizerische Flüchtlingshilfe	Munz Martina, SP/SH	Hruschka Constantin	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
670	730	3	Allianz Atomausstieg		Schuler Kaspar	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
671	731	4	Gast	Müri Felix, SVP/LU	Gurtner Miriam	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
672	732	5	Bauenschweiz		Wittwer Benjamin	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
673	733	6	Persönliche/r Mitarbeiter/in	Naef Martin, SP/ZH	Huber Patrick Hadi	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
674	734	7	Alliance Sud		Herkenrath Marc	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
675	735	8	Collaborateur(rice) personnel(le)	Nantermod Philippe, PLR/VS	Vernay André	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
676	736	9				Register der Zutrittberechtigten 2016-01-21 N.pdf	18
677	737	10	Collaborateur(rice) personnel(le)	Nicolet Jacques, UDC/VD	Nardi-Lias Valérie	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
678	738	11				Register der Zutrittberechtigten 2016-01-21 N.pdf	18
679	739	12	Vereinigung Schweizerischer Privatbanken	Nidegger Yves, UDC/GE	Zijdenbos Theo	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
680	740	13	Institute for Security Analysis and Strategic Networking		Bollag Josef	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
681	741	14	Invité(e)	Nordmann Roger, PSS/VD	Cherix François	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
682	742	15		Leumann Luc	Verkehrsclub Schweiz	Register der Zutrittberechtigten 2016-01-21 N.pdf	18
683	743	0	Gast	Nussbaumer Eric, SP/BL	Hegi Roger	Register der Zutrittberechtigten 2016-01-21 N.pdf	19
684	744	1	AEE Suisse		Batzli Stefan	Register der Zutrittberechtigten 2016-01-21 N.pdf	19
685	745	2		Page Pierre-André, UDC/FR		Register der Zutrittberechtigten 2016-01-21 N.pdf	19
686	746	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	19
687	747	4	Collaboratore/trice personale	Pantani Roberta, Lega/TI	Cereghetti Elena	Register der Zutrittberechtigten 2016-01-21 N.pdf	19
688	748	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	19
689	749	6		Pardini Corrado, SP/BE		Register der Zutrittberechtigten 2016-01-21 N.pdf	19
690	750	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	19
691	751	8	Suva	Pezzatti Bruno, FDP-Liberale/ZG	Mühlethaler Jan	Register der Zutrittberechtigten 2016-01-21 N.pdf	19
692	752	9	Schweizer Obstverband		Enggasser Josiane	Register der Zutrittberechtigten 2016-01-21 N.pdf	19
693	753	10	Studerus und Partner AG	Pfister Gerhard, CVP/ZG	Studerus Konrad	Register der Zutrittberechtigten 2016-01-21 N.pdf	19
694	754	11	Dynamics Group AG		Mutter Bettina	Register der Zutrittberechtigten 2016-01-21 N.pdf	19
695	755	12		Pieren Nadja, SVP/BE		Register der Zutrittberechtigten 2016-01-21 N.pdf	19
696	756	13				Register der Zutrittberechtigten 2016-01-21 N.pdf	19
697	757	14		Piller Carrard Valérie, PSS/FR		Register der Zutrittberechtigten 2016-01-21 N.pdf	19
698	758	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	19
699	759	0	KPMG	Portmann Hans-Peter, FDP-Liberale/ZH	Hammer Andreas	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
700	760	1				Register der Zutrittberechtigten 2016-01-21 N.pdf	20
701	761	2	Pink Cross	Quadranti Rosmarie, BDP/ZH	Baumann Bastian	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
702	762	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	20
703	763	4	Sunrise	Quadri Lorenzo, Lega/TI	Burkhardt Michael	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
704	764	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	20
705	765	6	Collaboratore/trice personale	Regazzi Fabio, CVP/TI	Trisconi Michela	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
706	766	7	Collaboratore/trice personale		Geninazzi Angelo	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
707	767	8		Reimann Lukas, SVP/SG		Register der Zutrittberechtigten 2016-01-21 N.pdf	20
708	768	9				Register der Zutrittberechtigten 2016-01-21 N.pdf	20
709	769	10	Gast	Reimann Maximilian, SVP/AG	Reimann Johann Peter	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
710	770	11	Persönliche/r Mitarbeiter/in		Hürzeler Urs	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
711	771	12		Reynard Mathias, PSS/VS		Register der Zutrittberechtigten 2016-01-21 N.pdf	20
712	772	13				Register der Zutrittberechtigten 2016-01-21 N.pdf	20
713	773	14	Verband Schweizer Privatradios (VSP)	Rickli Natalie Simone, SVP/ZH	Bachmann Jürg	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
714	774	15		Sennhauser Marcel	scienceindustries	Register der Zutrittberechtigten 2016-01-21 N.pdf	20
715	775	0	Swisscleantech	Riklin Kathy, CVP/ZH	Weissen Roman	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
716	776	1				Register der Zutrittberechtigten 2016-01-21 N.pdf	21
717	777	2		Rime Jean-François, UDC/FR		Register der Zutrittberechtigten 2016-01-21 N.pdf	21
718	778	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	21
719	779	4	Schweizer Bauernverband	Ritter Markus, CVP/SG	Rufer Martin	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
720	780	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	21
721	781	6	Associazioni economiche ticinesi	Romano Marco, CVP/TI	Rossi Michele	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
722	782	7	Travail.Suisse		Borioli Sandoz Valérie	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
723	783	8	Persönliche/r Mitarbeiter/in	Rösti Albert, SVP/BE	Weber-Stücheli Priska	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
724	784	9				Register der Zutrittberechtigten 2016-01-21 N.pdf	21
725	785	10	Ligue pulmonaire suisse	Ruiz Rebecca Ana, PSS/VD	Strozzi Elena	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
726	786	11	Invité(e)		Montangero Stéphane	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
727	787	12	Persönliche/r Mitarbeiter/in	Ruppen Franz, SVP/VS	Decurtins Marco	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
728	788	13	Gast		Graber Michael	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
729	789	14	IG Freiheit	Rutz Gregor, SVP/ZH	Isler Claudia	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
730	790	15		Lauber Tamara	Aktion Medienfreiheit	Register der Zutrittberechtigten 2016-01-21 N.pdf	21
731	791	0	Stiftung Landschaftsschutz SL-FP	Rytz Regula, GPS/BE	Rodewald Raimund	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
732	792	1	Schweizerischer Gewerkschaftsbund		Bianchi Doris	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
733	793	2	Persönliche/r Mitarbeiter/in	Salzmann Werner, SVP/BE	Panayides Aliki	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
734	794	3	Gast		Salzmann Werner	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
735	795	4		Sauter Regine, FDP-Liberale/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	22
736	796	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	22
737	797	6	Pro Natura	Schelbert Louis, GPS/LU	Liner Marcel	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
738	798	7	Schweizer Heimatschutz		Schmid Adrian	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
739	799	8	Travail.Suisse	Schenker Silvia, SP/BS	Kuert Killer Matthias	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
740	800	9				Register der Zutrittberechtigten 2016-01-21 N.pdf	22
741	801	10	suissetec	Schilliger Peter, FDP-Liberale/LU	Kaufmann Hans-Peter	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
742	802	11	Schweizerischer Arbeitgeberverband		Müller Roland A.	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
743	803	12	Schweizerischer Versicherungsverband	Schmid-Federer Barbara, CVP/ZH	Dürr Lucius	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
744	804	13	furrerhugi.ag		Saxer Mark	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
745	805	14	Gast	Schmidt Roberto, CVP/VS	Russi Dominique	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
746	806	15		Cina Michel	Persönliche/r Mitarbeiter/in	Register der Zutrittberechtigten 2016-01-21 N.pdf	22
747	807	0	Treuhand Suisse	Schneeberger Daniela, FDP-Liberale/BL	Lincoln Vanessa	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
748	808	1				Register der Zutrittberechtigten 2016-01-21 N.pdf	23
749	809	2	Handelskammer beider Basel	Schneider-Schneiter Elisabeth, CVP/BL	Saladin Franz	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
750	810	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	23
751	811	4	USS-SGB	Schwaab Jean Christophe, PSS/VD	Perret Ducommun Laura	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
752	812	5	USS-SGB		Corpataux José	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
753	813	6		Schwander Pirmin, SVP/SZ		Register der Zutrittberechtigten 2016-01-21 N.pdf	23
754	814	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	23
755	815	8	WWF Schweiz	Seiler Graf Priska, SP/ZH	Fust Michael	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
756	816	9				Register der Zutrittberechtigten 2016-01-21 N.pdf	23
757	817	10	Agrarallianz	Semadeni Silva, SP/GR	Dietler Christof	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
758	818	11	Pro Natura		Ulber Marcus	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
759	819	12		Sollberger Sandra, SVP/BL		Register der Zutrittberechtigten 2016-01-21 N.pdf	23
760	820	13				Register der Zutrittberechtigten 2016-01-21 N.pdf	23
761	821	14	Alliance Sud	Sommaruga Carlo, PSS/GE	Egger Michel	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
762	822	15		Corpataux Magali	agile.ch	Register der Zutrittberechtigten 2016-01-21 N.pdf	23
763	823	0	Groupe Mutuel	Stahl Jürg, SVP/ZH	Grichting Thomas Johannes	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
764	824	1	Schweizerischer Fussballverband		Miescher Alex	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
765	825	2	Gast	Stamm Luzi, SVP/AG	Stamm Sandra	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
766	826	3	Credit Suisse		Buholzer René	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
767	827	4		Steiert Jean-François, SP/FR		Register der Zutrittberechtigten 2016-01-21 N.pdf	24
768	828	5				Register der Zutrittberechtigten 2016-01-21 N.pdf	24
769	829	6		Steinemann Barbara, SVP/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	24
770	830	7				Register der Zutrittberechtigten 2016-01-21 N.pdf	24
771	831	8	Persönliche/r Mitarbeiter/in	Streiff-Feller Marianne, EVP/BE	Schwarz Johannes	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
772	832	9	INSOS Schweiz		Saxenhofer Peter	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
773	833	10	WWF Suisse	Thorens Goumaz Adèle, PES/VD	Graf Manuel	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
774	834	11	Greenpeace Suisse		Koch Anne	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
775	835	12	Collaborateur(rice) personnel(le)	Tornare Manuel, PSS/GE	Byland Karin	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
776	836	13	Collaborateur(rice) personnel(le)		Chiavaroli Danielle	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
777	837	14	Stadtverwaltung Bern	Tschäppät Alexander, SP/BE	Langenegger Walter	Register der Zutrittberechtigten 2016-01-21 N.pdf	24
778	838	15				Register der Zutrittberechtigten 2016-01-21 N.pdf	24
779	839	0	SVP des Kt. Zürich	Tuena Mauro, SVP/ZH	Wegelin Reinhard	Register der Zutrittberechtigten 2016-01-21 N.pdf	25
780	840	1				Register der Zutrittberechtigten 2016-01-21 N.pdf	25
781	841	2		Vitali Albert, FDP-Liberale/LU		Register der Zutrittberechtigten 2016-01-21 N.pdf	25
782	842	3				Register der Zutrittberechtigten 2016-01-21 N.pdf	25
783	843	4	Verband öffentlicher Verkehr, Seilbahnen Schweiz	Vogler Karl, csp-ow/OW	Stückelberger Ueli	Register der Zutrittberechtigten 2016-01-21 N.pdf	25
784	844	5	Verband Schweizerischer Kantonalbanken		Steiner Adrian	Register der Zutrittberechtigten 2016-01-21 N.pdf	25
785	845	6		Vogt Hans-Ueli, SVP/ZH		Register der Zutrittberechtigten 2016-01-21 N.pdf	25
